Entity,Code,Year,Coal - Prices (US dollars per megawatt-hour),Coal Consumption,Coal Production,Reserve
Northwest Europe marker price,,2015,6.976226722261154,267.6693118808646,0.9614516736000001,
Northwest Europe marker price,,2016,7.354026041624546,127.61612295711627,0.46354403650000003,
US Central Appalachian coal spot price index,,1990,3.880594290063294,5618.9446574711565,23.643141919999998,
US Central Appalachian coal spot price index,,1991,3.563509633233914,5565.909051257443,22.51699287,
US Central Appalachian coal spot price index,,1992,3.5050409950375028,5604.243040307038,22.33611556,
US Central Appalachian coal spot price index,,1993,3.667111957055625,5813.108051384158,20.70496832,
US Central Appalachian coal spot price index,,1994,3.8958576819293045,5834.887627964005,22.374398000000003,
US Central Appalachian coal spot price index,,1995,3.31732589345955,5887.424720287356,22.04704505,
US Central Appalachian coal spot price index,,1996,3.668137722638018,6155.053411644706,22.43632735,
US Central Appalachian coal spot price index,,1997,3.65557058208,6285.029552052871,22.67704476,
US Central Appalachian coal spot price index,,1998,3.808267558848751,6346.672069455401,23.095498090000003,
US Central Appalachian coal spot price index,,1999,3.8440360047068007,6336.942109925684,22.10618175,
US Central Appalachian coal spot price index,,2000,3.673317838829104,6617.406434943366,21.33075999,
US Central Appalachian coal spot price index,,2001,6.160748087853451,6422.437974800601,21.86370158,
US Central Appalachian coal spot price index,,2002,4.077875510501714,6419.425497270301,20.91996561,
US Central Appalachian coal spot price index,,2003,4.731937838021687,6541.618256196831,20.140202010000003,
US Central Appalachian coal spot price index,,2004,7.97220736612721,6584.191811347538,20.64314792,
US Central Appalachian coal spot price index,,2005,8.613481816053346,6681.007253236787,20.741440299999997,
US Central Appalachian coal spot price index,,2006,7.73329032069945,6578.613203526811,21.081792529999998,
US Central Appalachian coal spot price index,,2007,6.28476699338572,6667.2103464662905,20.62862329,
US Central Appalachian coal spot price index,,2008,14.591123481610072,6561.110120002915,20.7528412,
US Central Appalachian coal spot price index,,2009,8.363173216430786,5770.922522330359,18.64015446,
US Central Appalachian coal spot price index,,2010,8.798135007367854,6105.8332976935635,18.84382446,
US Central Appalachian coal spot price index,,2011,10.733411029873688,5761.127794094134,18.85732106,
US Central Appalachian coal spot price index,,2012,8.851232907935787,5093.057636083074,17.453429220000004,
US Central Appalachian coal spot price index,,2013,8.769221240014147,5286.601477753731,16.80026216,
US Central Appalachian coal spot price index,,2014,8.475419752295789,5274.5852708056,16.917300739999998,
US Central Appalachian coal spot price index,,2015,6.582240294486722,4556.923970868561,16.28500346,
US Central Appalachian coal spot price index,,2016,6.579292500644319,4168.550877813472,13.13061593,
